epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1077,2.09175,4.9971,3.23636,1.90938,0.37023,0.51031,0.41006,0.26368,0.3593,0.46907,0.33874,0.17886,1.15977,4.26846,7.26948,1.25639,0.00028,0.00028,0.00028
2,26.3051,1.61181,3.79672,1.87309,1.5517,0.2278,0.60309,0.28703,0.16616,0.15539,0.43814,0.10998,0.05506,1.16714,4.26073,9.60832,1.3456,0.000568516,0.000568516,0.000568516
3,38.472,1.60962,3.77972,1.75681,1.56011,0.37574,0.40722,0.34566,0.17831,0.30553,0.3299,0.24244,0.11273,1.84018,5.95149,4.67235,1.96255,0.000845152,0.000845152,0.000845152
4,50.5679,1.5899,3.64491,1.70825,1.56072,0.11578,0.47423,0.12628,0.06876,0.10823,0.4433,0.12189,0.0555,1.60686,6.77367,15.826,1.92528,0.00110991,0.00110991,0.00110991
5,62.7744,1.59963,3.63931,1.68618,1.56384,0.24454,0.28866,0.1565,0.07797,0.23581,0.27835,0.1405,0.05992,1.75034,7.62974,17.0973,2.46952,0.00136278,0.00136278,0.00136278
6,75.0569,1.61905,3.68825,1.67238,1.57118,0.07823,0.09278,0.01967,0.0054,0.09622,0.05155,0.01617,0.00716,3.57488,17.9913,3.91627,3.50848,0.00160378,0.00160378,0.00160378
7,87.4783,1.62059,3.60757,1.69625,1.5969,0.07394,0.10309,0.01571,0.00582,0.0308,0.04124,0.00265,0.00117,3.6683,73.2954,6.95704,4.50944,0.0017624,0.0017624,0.0017624
8,100.088,1.55877,3.60801,1.60699,1.54437,0.02759,0.07732,0.01109,0.00472,0.00775,0.01031,0.00117,0.00038,2.61685,65.8553,7.66093,2.53469,0.0017228,0.0017228,0.0017228
9,112.758,1.56306,3.62907,1.64096,1.56384,0.47489,0.51546,0.4105,0.25005,0.43532,0.46907,0.31693,0.1216,1.59453,5.80001,2.31159,1.73093,0.0016832,0.0016832,0.0016832
10,125.676,1.57889,3.65488,1.61057,1.57312,0.31899,0.21006,0.16663,0.09842,0.38111,0.11856,0.11386,0.05552,2.09562,9.26875,2.44964,1.90775,0.0016436,0.0016436,0.0016436
11,138.908,1.5275,3.46589,1.58894,1.54602,0.5402,0.57531,0.53579,0.32903,0.55536,0.47938,0.48134,0.24123,1.26575,3.89167,1.57769,1.45876,0.001604,0.001604,0.001604
12,152.586,1.47697,3.44631,1.53573,1.50778,0.67364,0.58763,0.63022,0.42518,0.61552,0.51031,0.47962,0.2566,1.15173,4.23182,1.3235,1.35141,0.0015644,0.0015644,0.0015644
13,166.355,1.47907,3.5082,1.51703,1.5114,0.68875,0.60455,0.64665,0.41385,0.69005,0.59278,0.61374,0.34218,1.1536,2.92354,1.62345,1.39509,0.0015248,0.0015248,0.0015248
14,179.735,1.44446,3.35739,1.48677,1.49365,0.7194,0.62371,0.66845,0.46185,0.7619,0.65979,0.70263,0.42668,1.11196,2.95509,1.29652,1.32867,0.0014852,0.0014852,0.0014852
15,192.886,1.4485,3.34951,1.47967,1.49323,0.61833,0.63402,0.63857,0.42063,0.61833,0.63402,0.64108,0.36987,1.11804,2.4792,1.2971,1.32849,0.0014456,0.0014456,0.0014456
16,206.023,1.4528,3.37117,1.49709,1.49549,0.67713,0.64863,0.65647,0.4016,0.72806,0.70619,0.71432,0.38839,1.24306,2.3961,1.52998,1.43146,0.001406,0.001406,0.001406
